,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Guerrilla Radio,spotify:track:1wsRitfRRtWyEapl0q22o8,confident,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68
1,Heat Seeker,spotify:track:7noHzxuNmeIwYftylZfVRT,confident,0.5,0.949,1,-3.123,1,0.0833,0.00847,0,0.514,0.648,159.824
2,Ten Tonne Skeleton,spotify:track:78ZTkIlW7NLXRCCPecwUyd,confident,0.488,0.879,7,-3.329,0,0.0393,0.000488,1.19e-06,0.14,0.557,86.986
3,Bloodfeather,spotify:track:66Avcq6c51vcMGXLzHH5d7,confident,0.547,0.792,9,-5.645,0,0.035,0.000383,0.000259,0.106,0.395,97.998
4,Put A Record On,spotify:track:2IEbyYtElSG0IU0WZXFA2N,confident,0.618,0.955,10,-3.178,0,0.0837,0.00305,0.0287,0.323,0.687,128.018
5,Nothing Left,spotify:track:3PoiPLGqcvVnZUGAzaStv9,confident,0.527,0.973,11,-3.203,0,0.19,0.000756,8.93e-05,0.361,0.131,134.942
6,Superblood Wolfmoon,spotify:track:2PETsovNFRjQOSMWj8gNii,confident,0.511,0.93,9,-5.173,1,0.0522,0.00556,0,0.403,0.881,153.376
7,My Songs Know What You Did In The Dark (Light Em Up),spotify:track:2COhljkZObSdthS0NG5s3B,confident,0.56,0.916,9,-4.319,0,0.0673,0.0278,6.27e-06,0.294,0.524,151.963
8,bloody valentine,spotify:track:1bWEngw5tAF7vWByrf5Oy5,confident,0.52,0.856,2,-4.228,1,0.0806,0.000193,0,0.157,0.47,160.083
9,The Best,spotify:track:4TIa51S5pZ7U9UdqHWqvsx,confident,0.635,0.875,2,-4.756,0,0.0306,0.11,0.236,0.0993,0.0485,111.005
10,Sex Party,spotify:track:0kP4jYOuH9le6avYm2JnvZ,confident,0.516,0.858,11,-4.503,0,0.125,0.0496,0,0.15,0.685,155.082
11,Prescription Kid,spotify:track:043IjYujEo3sEDuaBtWzu0,confident,0.529,0.767,1,-5.847,1,0.0407,0.00069,0.00206,0.37,0.299,87.462
12,Don't Look At Me,spotify:track:5hQZDntIU1PbXhmH94kZoM,confident,0.539,0.832,1,-6.53,0,0.256,0.0101,0.00437,0.638,0.287,76.503
