,uri,track,playlist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,spotify:track:241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love),3,upbeat,0.682,0.605,8,-10.771,1,0.0403,0.185,0.0032600000000000003,0.046900000000000004,0.914,125.96
1,spotify:track:3XcuLPQb1LG13ZJEEa6wUI,Build Me Up Buttercup,3,upbeat,0.657,0.423,0,-10.465,1,0.0308,0.361,0,0.31,0.842,133.612
10,spotify:track:22n3sLGqLcaYKiVniC1ZOT,Last One Standing,3,upbeat,0.588,0.5760000000000001,6,-6.945,0,0.0367,0.217,0.0354,0.17200000000000001,0.661,129.157
100,spotify:track:0GO8y8jQk1PkHzS31d699N,Tongue Tied,8,upbeat,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96
1000,spotify:track:3CFPJGktOC1KpxwvDjIHfL,UCKERS,13,confident,0.773,0.555,4,-7.169,0,0.058300000000000005,0.0154,0.008140000000000001,0.319,0.501,97.992
1001,spotify:track:0AUvWawuP0ibk4SQ3sIZjk,Daisy,13,confident,0.834,0.663,8,-6.143,1,0.133,0.23500000000000001,0,0.372,0.774,121.876
1002,spotify:track:5hPgSVHlmym45dc0861p8c,thicc,13,confident,0.915,0.5740000000000001,5,-10.423,0,0.463,0.154,1.2999999999999998e-06,0.311,0.583,138.866
1003,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Streets,13,confident,0.749,0.463,11,-8.433,1,0.0828,0.20800000000000002,0.0371,0.337,0.19,90.028
1004,spotify:track:2iRSvggpclrZU49PH3tqtg,Tomboy (feat. Coi Leray),13,confident,0.673,0.679,0,-5.089,0,0.036000000000000004,0.40900000000000003,2.12E-05,0.108,0.447,78.029
1005,spotify:track:06ioYJ99HHjzRk8HrGfkKS,Drugs,13,confident,0.883,0.41500000000000004,6,-8.571,0,0.17400000000000002,0.35000000000000003,0,0.063,0.318,76.986
1006,spotify:track:6o5nwWrt3CRlRaT71Eilum,All About Cake (feat. Coi Leray & Kaash Paige),13,confident,0.916,0.511,1,-4.302,1,0.387,0.193,5.05E-05,0.176,0.516,131.042
1007,spotify:track:0Rb7VLOEfskuXQSBz9QdFQ,Kim (with Yung Baby Tate),13,confident,0.9390000000000001,0.747,5,-3.95,1,0.0951,0.115,1.14E-05,0.105,0.592,127.031
1008,spotify:track:4XUD2CnwseTFwKDlKLqT5j,Bitch From Da Souf,13,confident,0.8200000000000001,0.433,1,-7.251,1,0.242,0.020300000000000002,0,0.169,0.352,150.071
1009,spotify:track:1GcXzijYzyfMq6wryZjYW5,May I,13,confident,0.896,0.78,1,-3.547,1,0.202,0.0828,0,0.0857,0.85,106.032
101,spotify:track:6J2rMSRhgb4HuX6dWgM3nJ,I Melt with You,8,upbeat,0.541,0.81,0,-11.745,1,0.0367,0.000975,0.00158,0.06810000000000001,0.647,155.582
1010,spotify:track:5fgHQws1Cj6KDLQmlqM6lF,Problems,13,confident,0.761,0.554,0,-4.583,1,0.0432,0.226,0.000232,0.181,0.381,145.015
1011,spotify:track:4aarlAfLKVCTxUDNgbwhjH,Cry Baby (feat. DaBaby),13,confident,0.9570000000000001,0.437,11,-7.882,1,0.359,0.00402,0,0.219,0.616,130.058
1012,spotify:track:77o1HdXHm1hLd7Ebe9ygd0,THAT BITCH,13,confident,0.778,0.738,2,-2.164,1,0.218,0.0103,0,0.55,0.626,162.132
1013,spotify:track:4pBhTGnL5N5KqsyqU58jee,I'm not Pretty,13,confident,0.783,0.526,7,-6.478,1,0.261,0.08020000000000001,0,0.066,0.902,75.002
1014,spotify:track:5EzL7hGT9g2Tvqsy158Lu9,Pussy Talk,13,confident,0.9430000000000001,0.641,1,-5.598,1,0.191,0.0016,0,0.211,0.242,99.099
1015,spotify:track:2tigH2DP65aAzAlyAFNoRZ,nuh uh,13,confident,0.923,0.587,1,-2.98,1,0.122,0.047400000000000005,0.0024500000000000004,0.0695,0.5690000000000001,97.996
1016,spotify:track:0BJHFunrXh8e7NFQzi8crG,Murder Party,13,confident,0.709,0.5640000000000001,9,-8.551,0,0.16,0.158,0,0.132,0.486,129.954
1017,spotify:track:1ddKUwm3UuvcMWLLAgOIcX,Fuck Up the Friendship,13,confident,0.745,0.736,1,-5.258,0,0.29,0.14200000000000002,1.1E-05,0.11,0.77,104.008
1018,spotify:track:7MIkwVS7Wm1vYTEoDPsyVS,Traumada,13,confident,0.771,0.5750000000000001,0,-5.178,0,0.0794,0.555,0.008180000000000002,0.105,0.56,84.522
1019,spotify:track:54bFM56PmE4YLRnqpW6Tha,Therefore I Am,13,confident,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
102,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,Landslide,8,upbeat,0.41400000000000003,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375
